Scenario,Category,Violation,Number of Offense,Sanction
A student asked for donations for a fake club that did not exist.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student falsely collected funds for what they claimed to be a school-sponsored event.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student demanded classmates pay for membership to an unofficial organization.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accepted bribes from classmates to reserve front-row seats for an event.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student collected additional fees for a mandatory class event without informing the administration.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student was caught charging classmates for rides to campus events organized by the university.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student collected money from peers to reserve study rooms, which are free.",Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student collected fees for a study guide that was freely available online.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student created a fake class fund and collected money from peers.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student requested payments from new students for access to study groups, despite them being free.",Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student collected a fee from students for photocopying services, which were free.",Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student accepted money to submit assignments for their classmates, which violated school policies.",Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student collected exam “review” fees without the teacher’s knowledge or approval.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student claimed they needed money for a class trip and collected funds, but the trip did not exist.",Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student sold tickets to an event that was free for students.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student collected money for a team project and kept it for personal use.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student charged classmates for access to shared lockers that were supposed to be free.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student requested payments from peers for organizing a free school event.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student collected donations for a project that was not sanctioned by the school.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accepted money to influence the seating arrangements for an event.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student charged peers to enter an event that was meant to be free for students.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student falsely collected money for a non-existent textbook fund.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student collected payment from classmates for a group project but failed to provide proper receipts.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student solicited funds from peers for a personal event under the guise of a university-related activity.,Academic Dishonesty or Fraudulent Acts,"Unauthorized collection or exaction of money, checks, or other instruments as equivalent of money in connection with matters pertaining to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student sold snacks and beverages in class without prior approval from the university.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student set up a stall on campus selling homemade crafts without the necessary permits.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student organized a fundraiser and sold tickets without obtaining permission from the administration.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student sold secondhand textbooks on university grounds without official clearance.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student sold event tickets to a campus concert without permission from the organizers or university.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student sold university-branded apparel without prior approval from the administration.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student was caught running a food business inside the dormitory without university consent.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student organized an unofficial flea market on campus grounds without the administration’s knowledge.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student promoted and sold digital products to peers via campus networks without permission.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student ran an unauthorized business selling class notes for profit.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student repeatedly sold snacks in class after being warned.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student set up an online store for the sale of various items on campus despite previous warnings.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student organized another unapproved fundraising event after a warning from the administration.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student was caught selling unapproved merchandise for the second time during a campus event.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student ran an unauthorized on-campus business after facing previous sanctions.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student continued selling unauthorized class materials despite receiving a warning.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student attempted to organize a second flea market on campus without proper authorization.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student sold school supplies at a second unauthorized stand on campus.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student organized another food sale on campus grounds without getting the required approval.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student repeatedly engaged in unauthorized selling despite warnings.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student attempted to sell tickets for a fake concert event on campus after a prior warning.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student organized a second unapproved business booth on campus despite disciplinary action.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student repeatedly sold unauthorized merchandise after facing previous sanctions.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student was caught selling unapproved beverages on campus grounds for the second time.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student ran another unauthorized online shop using campus resources despite facing penalties.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student organized another unapproved ticket-selling event on campus grounds.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student was caught reselling event tickets without permission for the second time.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student organized another unapproved food stall on campus despite penalties.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student repeatedly sold unauthorized university merchandise after facing disciplinary action.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student ran another unauthorized business booth during a school event despite warnings.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student continued selling snacks in dormitories without approval after prior warnings.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student promoted and sold personal digital content without approval for the second time.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student organized another unapproved sales event despite facing disciplinary actions.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student was caught selling unapproved school supplies for the second time in a campus facility.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student ran a second unauthorized stand for personal merchandise during a school fair.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student repeatedly engaged in unauthorized selling after facing disciplinary action.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student continued to sell snacks and beverages on campus despite a prior penalty for the offense.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student set up a booth to sell homemade goods on campus without seeking approval from university authorities.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student sold tutoring services to other students through unauthorized advertising on campus.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student operated a mobile food stall on campus grounds without securing the necessary permissions.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student organized a fundraising event for personal benefit on campus without notifying the university.,Academic Dishonesty or Fraudulent Acts,"Selling items, engaging in business, or soliciting contributions or donations in campus without prior approval or authority.",1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student altered their transcript to inflate their GPA before applying for a scholarship.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student submitted a fake medical certificate to excuse themselves from exams.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student forged a professor’s signature to get approval for a project extension.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student tampered with a classmate’s attendance record in the system.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student submitted an altered test score to the administration.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student submitted a fake internship completion certificate to the registrar.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student forged letters of recommendation from faculty members.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student created a fake university email account to submit falsified documents.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student modified their thesis submission date in the official records to avoid late penalties.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student tampered with their graduation application by providing altered information.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student submitted fake community service hours for graduation requirements.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student forged an academic award certificate to include on their resume.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student altered their course enrollment forms after the deadline.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student submitted fake participation certificates to satisfy course requirements.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student created a fake approval letter from their department for research funding.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student altered their academic probation notice to show improved grades.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student submitted falsified internship evaluations to improve their grades.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student falsified documents to secure permission to retake an exam.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student altered their class schedule after missing the enrollment deadline.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student submitted fake work experience records for an internship.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student falsified their academic qualifications to join an honor society.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student forged the signature of a department head to bypass course prerequisites.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student falsified attendance records to avoid disciplinary action.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student submitted an altered diploma certificate for job applications.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student modified their transcript to secure a scholarship.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student created a fake approval letter to gain access to research funding.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student forged signatures on their final thesis submission.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student submitted falsified grades to bypass academic probation.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student altered their medical leave request to avoid losing academic standing.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student falsified their exam results to meet scholarship requirements.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student forged professor's recommendations for a study abroad program.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student submitted fake research data for a school project.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student altered their attendance records to meet graduation requirements.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student falsified their community service hours for a university requirement.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student altered their financial aid application to secure more funds.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student submitted fake letters of recommendation for a scholarship.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student tampered with their class registration form after missing the enrollment deadline.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student submitted altered internship records to enhance their resume.,Academic Dishonesty or Fraudulent Acts,"Forging, falsifying, or tampering of academic or official records or documents of any kind; or intentionally making a false statement of any material fact, or practicing fraud or deception in connection with anything that pertains to the University.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
